theme,title,artist
Growing Up,West Coast,Fidlar
Growing Up,Time,Pink Floyd
Growing Up,Growing Pains,Ludacris
Growing Up,Grown Up,Danny Brown
Growing Up,In My Life,The Beatles
Growing Up,We're Going To Be Friends,The White Stripes
Depression,I Feel Like Dying,Lil Wayne
Depression,Paint It, Black,The Rolling Stones
Depression,Living Is A Problem Because Everything Dies,Biffy Clyro
Depression,Hurt,Nine inch Nails
Depression,Turn Blue,The Black Keys
Depression,Black Eyed Dog,Nick Drake
Depression,Solitude Is Bliss,Tame Impala
Depression,Basket Case,Green Day
Depression,Suicide Is Painless,Manic Street Preachers
Depression,People = Shit,Slipknot
Depression,re:stacks,Bon Iver
Depression,Loser,Beck
Depression,Waking Up,Elastica
Depression,Nothin,Cat Power
Depression,Dark Times,The Weeknd
Depression,Just,Radiohead
Depression,Rock Bottom,Eminem
Depression,Entropy feat. Bleachers,Grimes
Depression,Down About It,The Lemonheads
Depression,This Is A Low,Blur
Depression,I Know It,The Smiths
Depression,Every Night,Paul McCartney
Depression,I See A Darkness,Bonnie Prince Billy
Depression,Stan,Eminem
Depression,Mad World,Tears for Fears
Depression,Sorrow,The National
Depression,Pain Pain Again,Glasvegas
Depression,A Letter To Elise,The Cure
Depression,Needle In The Hay,Elliott Smith
Depression,What Sarah Said,Death Cab For Cutie
Depression,Red Eyes,The War On Drugs
Depression,FML feat. The Weeknd,Kanye West
Depression,Breathe Me,Sia
Depression,u,Kendrick Lamar
Depression,Should Have Known Better,Sufjan Stevens
Depression,To Ramona,Bob Dylan
Depression,Grief,Earl Sweatshirt
Depression,How To Disappear Completely,Radiohead
Depression,Avalanche,Leonard Cohen
Depression,Pennyroyal Tea,Nirvana
Depression,Lua,Bright Eyes
Depression,Comfortably Numb,Pink Floyd
Depression,Blue Moon,Elvis Presley
Depression,Atmosphere,Joy Division
