War,Run To The Hills,Iron Maiden
Genocide,Run To The Hills,Iron Maiden
Prostitution,22 Acacia Avenue,Iron Maiden
War,War Pigs,Black Sabbath
Fear,Fear of the Dark,Iron Maiden
Mental Illness,Mind of a Lunatic,Geto Boys
Murder,Mind of a Lunatic,Geto Boys
Death,Don't Fear the Reaper,Blue Oyster Cult
Goodbye,The End,The Doors
Murder,The Shining Path,Tristania
Planes,Aces High,Iron Maiden
War,Aces High,Iron Maiden
Money,Rich Bitch,Die Antwoord
Outcast,Alien,Die Antwoord
City,Downtown,Petula Clark
War,99 Luftballons,Nena
Mental Illness,Unsociable,Mindless Self Indulgence
Breakup,My Last Date(With You),Ann-Margret
Murder,The Cafeteria,Bones
Devotion,Satellite,Lena
Obsession,Satellite,Lena
Murder,I Don't Like Mondays,The Boomtown Rats
Suicide,Hey Man Nice Shot,Filter
Devotion,Under Your Spell,Desire
Obsession,Under Your Spell,Desire
Goodbye,We'll Meet Again,Vera Lynn
Cheating,Come a Little Bit Closer,Jay and the Americans
Prostitution,Fancy,Bobbie Gentry
Suicide,Ode to Billie Joe,Bobbie Gentry
Breakup,The End of the World,Skeeter Davis
Family,Coal Miner's Daughter,Loretta Lynn
Vanity,You're So Vain,Carly Simon
Murder,The Night the Lights Went Out in Georgia,Reba McIntyre
Hypocrite,Harper Valley P.T.A,Jeannie C. Riley
Murder,Night of the 44,Insane Clown Posse
Drugs,Tik Tik Tik,MaxNormal.TV
Breakup,She's Not There,Zombies
Murder,The End,The Doors
Breakup,Goodbye to Romance,Ozzy Osbourne
Goodbye,Goodbye to Romance,Ozzy Osbourne
Drugs,Junkie,Ozzy Osbourne
Environmentalism,Dreamer,Ozzy Osbourne
War,2 Minutes to Midnight,Iron Maiden
Greed,2 Minutes to Midnight,Iron Maiden
Goodbye,Cemetary Gates,Pantera
Death,Cemetary Gates,Pantera
Loss,Cemetary Gates,Pantera
Moving On,Cemetary Gates,Pantera
Secrets,Dollhouse,Melanie Martinez
Devotion,Nothing Else Matters,Metallica
Trust,Nothing Else Matters,Metallica
Outcast,Nothing Else Matters,Metallica
Fear,Under the Blade,Twisted Sister
Obsession,Run For Your Life,Twisted Sister
Prostitution,She Wants Money,Ratt
Breakup,I Won't Forget You,Poison
Breakup,Nobody's Fool,Cinderella
Breakup,Against All Odds,Phil Collins
Breakup,I Will Always Love You,Whitney Houston
Breakup,I Will Always Love You,Dolly Parton
Breakup,Un-Break My Heart,Toni Braxton
Breakup,Careless Whisper,George Michael
Breakup,Believe,Cher
Breakup,Hello,Adele
Breakup,Love Yourself,Justin Bieber
Crime,18 and Life,Skid Row
Crime,I No Dat U H8,Killa C
Cheating,Before He Cheats,Carrie Underwood
Cheating,A Little Bit Stronger,Sara Evans
Cheating,You Should Have Known Better,Monica
Cheating,Goodbye Earl,Dixie Chicks
Murder,Goodbye Earl,Dixie Chicks
Crime,Goodbye Earl,Dixie Chicks
Cheating,Unfaithful,Rihanna
Cheating,When You Were Cheating,Sara Evans
Cheating,Liar,Profyle
Breakup,Liar,Profyle
Rape,Jonestown Tea,Otep
Cult,Jonestown Tea,Otep
Mental Illness,Swallow,Emilie Autumn
Depression,Swallow,Emilie Autumn
Crime,Assassins,Geto Boys
Murder,Assassins,Geto Boys
Motivation,Grindstone,Backwordz
Politics,Utopias Don't Exist,Backwordz
Bartender,Brandy,Looking Glass
Crime,Paper Planes,M.I.A.
